steps|precision|actual value|calculated value
128|261937605326.91943|66165.47941858011|61246.11636678673
128|261937605326.91943|83795.5184864588|77422.48853902267
128|261937605326.91943|106123.14193864942|97871.37149585343
128|261937605326.91943|134400.03765388462|123721.22313186203
128|261937605326.91943|170211.41011714196|156398.5502300897
128|261937605326.91943|215564.84708636237|197706.6292924084
128|261937605326.91943|273002.8650932834|249925.01915715582
128|261937605326.91943|345745.4430865644|315935.35694187303
128|261937605326.91943|437870.53466259444|399380.3792768538
128|261937605326.91943|554542.6784115045|504864.9443108685
128|261937605326.91943|702302.5222894149|638210.1477552042
128|261937605326.91943|889433.4927722408|806774.5561914606
128|261937605326.91943|1126426.164287927|1019860.2846902669
128|261937605326.91943|1426566.361508008|1289226.3278651433
128|261937605326.91943|1806679.963551588|1629737.4721954314
128|261937605326.91943|2288076.163874437|2060184.5994147551
128|261937605326.91943|2897742.0650545154|2604321.6488637086
128|261937605326.91943|3669855.577536169|3292176.462886902
128|261937605326.91943|4647701.43553605|4161707.853408699
128|261937605326.91943|5886097.742088387|5260900.3338082675
128|261937605326.91943|7454469.075504306|6650412.112483915
128|261937605326.91943|9440738.435795479|8406922.475876534
128|261937605326.91943|11956256.21383423|10627363.284065282
128|261937605326.91943|15142042.501585407|13434268.091215298
128|261937605326.91943|19176692.68773188|16982534.07854367
128|261937605326.91943|24286389.52690412|21467969.952592306
128|261937605326.91943|30757582.95977311|27138101.51890803
128|261937605326.91943|38953048.51555418|34305831.229550675
128|261937605326.91943|49332224.5320225|43366705.497505225
128|261937605326.91943|62476968.29893028|54820742.6632971
128|261937605326.91943|79124175.01591937|69300026.17568064
128|261937605326.91943|100207088.1858539|87603585.69778681
128|261937605326.91943|126907617.30693929|110741491.02945252
128|261937605326.91943|160722595.79688424|139990592.13960642
128|261937605326.91943|203547693.57269624|176964981.28545535
128|261937605326.91943|257783688.43084204|223705065.6238086
128|261937605326.91943|326471053.80833614|282790165.7275582
128|261937605326.91943|413460407.92348963|357480853.68181086
128|261937605326.91943|523628379.6863544|451898885.59315944
128|261937605326.91943|663150992.8359947|571254657.9683517
128|261937605326.91943|839849894.2372802|722134739.9918385
128|261937605326.91943|1063630835.9183096|912865348.9803677
128|261937605326.91943|1347038992.180266|1153971827.166635
128|261937605326.91943|1705962242.8934183|1458759475.7337532
128|261937605326.91943|2160521849.08706|1844047799.041725
128|261937605326.91943|2736200452.1655197|2331098677.8268747
128|261937605326.91943|3465270632.460377|2946789691.9969864
128|261937605326.91943|4388604112.205447|3725097342.062945
128|261937605326.91943|5557963026.97179|4708972019.798347
128|261937605326.91943|7038901714.390715|5952708197.140194
128|261937605326.91943|8914441694.6304|7524940630.634054
128|261937605326.91943|11289725862.27443|9512431924.980034
128|261937605326.91943|14297912803.903446|12024860469.863127
128|261937605326.91943|18107641677.212566|15200872969.18863
128|261937605326.91943|22932486133.277336|19215735567.53616
128|261937605326.91943|29042927269.472622|24291005796.174477
128|261937605326.91943|36781516817.57189|30706759078.566837
128|261937605326.91943|46582080616.34858|38817044506.96894
128|261937605326.91943|58994038916.616035|49069422806.90646
128|261937605326.91943|74713206916.60423|62029664679.15048
128|261937605326.91943|94620802207.71416|78412972480.82343
128|261937605326.91943|119832845890.61893|99123448193.41003
128|261937605326.91943|151762726791.5311|125303985691.32857
128|261937605326.91943|192200436132.7109|158399340582.8321
128|261937605326.91943|243412914558.05426|200235858090.60474
128|261937605326.91943|308271136974.60956|253122258702.29648
128|261937605326.91943|390411059594.5945|319977043380.31635
128|261937605326.91943|494437451879.6696|404489549102.93896
128|261937605326.91943|626182040219.6553|511323542479.99384
128|261937605326.91943|793030434897.2999|646374586621.898
128|261937605326.91943|1004336167886.2545|817095383882.0679
128|261937605326.91943|1271945052468.3438|1032907048296.3281
128|261937605326.91943|1610859260304.8994|1305719003516.2642
128|261937605326.91943|2040078344166.216|1650586196459.3652
128|261937605326.91943|2583664354108.9004|2086539894575.6082
128|261937605326.91943|3272090757583.69|2637637913726.955
128|261937605326.91943|4143950784024.0938|3334292232809.1553
128|261937605326.91943|5248120963825.242|4214947258648.7593
128|261937605326.91943|6646501149851.022|5328201355111.26
128|261937605326.91943|8417484627254.424|6735488711597.956
128|261937605326.91943|10660352846196.896|8514469548066.922
128|261937605326.91943|13500841146470.27|10763315742794.742
128|261937605326.91943|17098187488911.385|13606128382406.963
128|261937605326.91943|21654059345954.07|17199786198083.914
128|261937605326.91943|27423859193390.73|21742602814355.062
128|261937605326.91943|34731042389954.504|27485270555017.992
256|72729366015.77391|2.0|2.0
256|72729366015.77391|2.4538237496449637|2.452940177456861
256|72729366015.77391|2.9564558947682538|2.9544642911495353
256|72729366015.77391|3.5142919099842587|3.510925730547564
256|72729366015.77391|4.134514116223401|4.129457719514729
256|72729366015.77391|4.825190362635045|4.818070904072293
256|72729366015.77391|5.595385011463696|5.585763079280846
256|72729366015.77391|6.455283762548531|6.4426425680393455
256|72729366015.77391|7.416334045917106|7.4000669530200796
256|72729366015.77391|8.491402926714184|8.470799074850445
256|72729366015.77391|9.694954709415814|9.669182447940353
256|72729366015.77391|11.043250701290466|11.011338513325864
256|72729366015.77391|12.5545739021663|12.515388449252903
256|72729366015.77391|14.249481733001884|14.201702599117697
256|72729366015.77391|16.151090304323624|16.093180957489306
256|72729366015.77391|18.285394162671302|18.215568583522796
256|72729366015.77391|20.68162594483993|20.59781029304312
256|72729366015.77391|23.37266092273387|23.272449522589834
256|72729366015.77391|26.39547204372238|26.276076868240516
256|72729366015.77391|29.791641771122528|29.64983448748639
256|72729366015.77391|33.607937816533536|33.43998332327537
256|72729366015.77391|37.896960741112615|37.69854097620208
256|72729366015.77391|42.717872398782845|42.48399902567196
256|72729366015.77391|48.13721531460149|47.862129697149605
256|72729366015.77391|54.229834351613135|53.906893005445895
256|72729366015.77391|61.07991343692773|60.70145689041553
256|72729366015.77391|68.7821417121401|68.33934442055723
256|72729366015.77391|77.44302526663805|76.9257238933451
256|72729366015.77391|87.1823626296807|86.57885963286529
256|72729366015.77391|98.13490446632336|97.43174350269364
256|72729366015.77391|110.45222047476074|109.63392964552314
256|72729366015.77391|124.30479935382918|123.3535977652404
256|72729366015.77391|139.88441093903484|138.7798734206556
256|72729366015.77391|157.4067632383085|156.12543734641434
256|72729366015.77391|177.11449118507412|175.6294598047076
256|72729366015.77391|199.28051852277443|197.56090045626493
256|72729366015.77391|224.21183940542141|222.22221928265432
256|72729366015.77391|252.25377211467804|249.95354976371866
256|72729366015.77391|283.79474383601575|281.1373918922945
256|72729366015.77391|319.2716727952892|316.2038897812221
256|72729366015.77391|359.17602233458706|355.6367666840112
256|72729366015.77391|404.0606108171562|399.97999932169284
256|72729366015.77391|454.5472717245933|449.8453236095316
256|72729366015.77391|511.3354700904452|505.920675349139
256|72729366015.77391|575.2119946661397|568.9796823524172
256|72729366015.77391|647.0618601213878|639.8923389716934
256|72729366015.77391|727.8805703484264|719.6370103255404
256|72729366015.77391|818.7879128000045|809.313931857245
256|72729366015.77391|921.0434750062883|910.1603904958836
256|72729366015.77391|1036.0640982797338|1023.5677968930999
256|72729366015.77391|1165.4435104602271|1151.1008843022503
256|72729366015.77391|1310.9744097473433|1294.5192990104917
256|72729366015.77391|1474.673305630776|1455.8018802336296
256|72729366015.77391|1658.8084611346114|1637.1739644934355
256|72729366015.77391|1865.9313235653558|1841.1380912296486
256|72729366015.77391|2098.9118792932254|2070.50853333002
256|72729366015.77391|2360.9784224706636|2328.4501290388293
256|72729366015.77391|2655.762288755186|2618.5219510558345
256|72729366015.77391|2987.348173902741|2944.726415382368
256|72729366015.77391|3360.330734486155|3311.564507530169
256|72729366015.77391|3779.878255043493|3724.097888117511
256|72729366015.77391|4251.804263879197|4188.018734800549
256|72729366015.77391|4782.6480898838945|4709.728284235785
256|72729366015.77391|5379.765476632558|5296.42515781452
256|72729366015.77391|6051.43050938249|5956.204689909177
256|72729366015.77391|6806.950267353334|6698.170629186732
256|72729366015.77391|7656.793790002756|7532.560754270922
256|72729366015.77391|8612.737144357849|8470.888137028607
256|72729366015.77391|9688.026603571589|9526.100002665486
256|72729366015.77391|10897.562197836864|10712.756378621114
256|72729366015.77391|12258.104181086856|12047.230997304112
256|72729366015.77391|13788.505274449722|13547.937224772417
256|72729366015.77391|15509.971904609056|15235.582132777115
256|72729366015.77391|17446.358056998226|17133.45221991786
256|72729366015.77391|19624.495815693874|19267.73472435958
256|72729366015.77391|22074.56717023467|21667.878961661765
256|72729366015.77391|24830.5222414182|24367.002673547155
256|72729366015.77391|27930.549721347987|27402.34899450897
256|72729366015.77391|31417.606046525667|30815.800341593465
256|72729366015.77391|35340.010636634106|34654.456318133336
256|72729366015.77391|39752.11544711754|38971.283605488454
256|72729366015.77391|44715.05811341676|43825.84681015868
256|72729366015.77391|50297.60912302876|49285.13035067411
256|72729366015.77391|56577.124754486336|55424.46272485838
256|72729366015.77391|63640.61898794529|62328.55591072996
256|72729366015.77391|71585.96924063015|70092.67424294705
256|72729366015.77391|80523.27263477669|78823.94889323768
256|72729366015.77391|90576.37159160695|88642.85609233697
256|72729366015.77391|101884.56989119045|99684.87949029553
256|72729366015.77391|114604.56297729179|112102.37959281178
256|72729366015.77391|128912.60925505904|126066.69606852651
256|72729366015.77391|145006.9724687917|141770.51193542493
256|72729366015.77391|163110.66900333518|159430.51224796733
256|72729366015.77391|183474.55817791066|179290.37397015802
256|72729366015.77391|206380.81835397356|201624.1282895519
256|72729366015.77391|232146.8570248336|226739.94176622137
256|72729366015.77391|261129.7090683763|254984.36848989804
256|72729366015.77391|293730.98410860286|286747.1319175914
256|72729366015.77391|330402.4315405953|322466.50237263745
256|72729366015.77391|371652.20033235435|362635.34440522006
256|72729366015.77391|418051.8803443497|407807.91745732015
256|72729366015.77391|470244.422736945|458607.5236693156
256|72729366015.77391|528953.0492172141|515735.10835452995
256|72729366015.77391|594991.2735788283|579978.9318131765
256|72729366015.77391|669274.1744014897|652225.4459397286
256|72729366015.77391|752831.0751134857|733471.525701799
256|72729366015.77391|846819.8071224779|824838.2242634476
256|72729366015.77391|952542.7536558848|927586.2415494449
256|72729366015.77391|1071464.8966272194|1043133.3196895331
256|72729366015.77391|1205234.1166001768|1173073.8053692179
256|72729366015.77391|1355704.0271430928|1319200.649013194
256|72729366015.77391|1524959.659984883|1483530.1443514803
256|72729366015.77391|1715346.3568865838|1668329.7497308203
256|72729366015.77391|1929502.26857742|1876149.3750565469
256|72729366015.77391|2170394.911086756|2109856.5660698097
